Company Name,Blurb,Company Link,Founders,LinkedIn Links,Founded,Team Size,Location
Embark Trucks,Self-driving semi trucks.,https://www.ycombinator.com/companies/embark-trucks,"['Alex Rodrigues', 'Brandon Moak', 'Michael Skupien']","['https://www.linkedin.com/company/embarktrucks/', 'https://ca.linkedin.com/in/rodriguesalex', 'https://ca.linkedin.com/in/brandonmoak', 'https://linkedin.com/in/michael-sk']",2016,300,San Francisco
PickTrace,Workforce Management for Large Farms,https://www.ycombinator.com/companies/picktrace,"['Harrison Steed', 'Austin Steed']","['https://www.linkedin.com/company/picktrace/', 'http://www.linkedin.com/pub/harrison-steed/', 'https://www.linkedin.com/in/austinsteed']",2015,65,"Los Angeles, CA"
Thrive Agritech,"We design and manufacture energy
                            efficient LED lighting fixtures for…",https://www.ycombinator.com/companies/thrive-agritech,['Brian Bennett'],"['https://www.linkedin.com/company/transcend-lighting/', 'https://www.linkedin.com/profile/view?id=33089925&trk=nav_responsive_tab_profile']",2015,8,New York
Feanix Biotechnologies,"Farm Genetics Made Easy - Using DNA
                            and Software",https://www.ycombinator.com/companies/feanix-biotechnologies,"['Mitchell Angove', 'Meia Alsup', 'Tom Bishop']","['https://www.linkedin.com/company/feanix-biotechnologies-inc/about/', 'https://www.linkedin.com/in/mitchell-angove-044b53163/', 'https://linkedin.com/in/meiaalsup', 'https://www.linkedin.com/in/tom-bishop-64253a280/']",2022,5,"Davis, CA"
Ohmic Biosciences,"Genetically engineering plants for
                            disease resistance.",https://www.ycombinator.com/companies/ohmic-biosciences,"['PJ Steiner', 'Matthew Bedewitz']","['https://www.linkedin.com/company/ohmic-biosciences', 'https://linkedin.com/in/pjsteiner', 'https://linkedin.com/in/matthew-bedewitz-915848239']",2021,2,"Alameda, CA"
Revoy,"Make diesel semi trucks
                            hybrid-electric",https://www.ycombinator.com/companies/revoy,['Ian Rust'],['https://www.linkedin.com/in/ian-rust-85a41b43/'],2020,4,"San Mateo, CA"
Olympian Motors,"Manufacturing modular electric
                            vehicles with style",https://www.ycombinator.com/companies/olympian-motors,"['Jasmine Sungu', 'Eren Canarslan']","['https://www.linkedin.com/company/olympian-motors/', 'https://www.linkedin.com/in/jasmine-sungu-208681101/', 'https://www.linkedin.com/in/eren-canarslan/']",2021,10,New York
Shinkei Systems,"Robots for longer-lasting,
                            better-tasting fish at scale.",https://www.ycombinator.com/companies/shinkei-systems,['Saif Khawaja'],"['https://www.linkedin.com/company/shinkeisystems', 'https://www.linkedin.com/in/saifnk/']",2021,6,New York
Mecho Autotech,"On-demand auto maintenance &
                            repairs",https://www.ycombinator.com/companies/mecho-autotech,['Olusegun Owoade'],"['https://www.linkedin.com/company/mechoautotech', 'https://www.linkedin.com/in/olusegun-owoade-0437a916/']",2021,35,"Lagos, Nigeria"
Instacrops,Helping farmers maximize crop yield,https://www.ycombinator.com/companies/instacrops,['Mario Bustamante'],"['https://www.linkedin.com/company/instacrops', 'https://www.linkedin.com/in/mario-andr%C3%A9s-bustamante-bernucci-36a79030/']",2014,34,"Santiago, Chile"
Blink,"Same-day delivery for e-commerce
                            companies in Europe.",https://www.ycombinator.com/companies/blink,"['Giulio Cantoro', 'Marco Turetta']","['https://www.linkedin.com/company/blinklastmile/', 'https://linkedin.com/in/giulio-cantoro-663665168', 'https://linkedin.com/in/marco-turetta']",2020,5,"Milan, Italy"
Faction,"Driverless electric vehicles at a
                            fraction of the cost of a car.",https://www.ycombinator.com/companies/faction,['Ain McKendrick'],"['https://www.linkedin.com/company/faction-technology', 'https://www.linkedin.com/in/ainmckendrick/']",2020,25,"South San Francisco, CA"
Future Fields,"We make the world's most sustainable
                            recombinant proteins",https://www.ycombinator.com/companies/future-fields,"['Matt Anderson-Baron', 'Jalene Anderson-Baron']","['https://www.linkedin.com/company/future-fields-cellular-agriculture/', 'http://linkedin.com/in/matthew-anderson-baron-92640315a', 'https://www.linkedin.com/in/jalene-anderson-baron/']",2018,30,"Edmonton, Canada"
Enveritas,"We verify global supply chains for
                            issues like child slavery and…",https://www.ycombinator.com/companies/enveritas,['David Browning'],"['https://www.linkedin.com/company/enveritas/', 'https://www.linkedin.com/profile/preview?locale=en_US&trk=prof-0-sb-preview-primary-button']",2016,60,New York
Four Growers,"Robots that feed the world - robotic
                            harvesting and analytics",https://www.ycombinator.com/companies/four-growers,"['Brandon Contino', 'Dan Chi']","['https://www.linkedin.com/company/four-growers-inc', 'https://www.linkedin.com/in/brandon-contino/', 'https://www.linkedin.com/in/dan-chi-0/']",,14,"Pittsburgh, PA"
Ovipost,Automated insect farming,https://www.ycombinator.com/companies/ovipost,['Trina Chiasson'],"['https://www.linkedin.com/company/ovipost/', 'https://www.linkedin.com/in/trinac/']",,20,"LaBelle, FL"
Beanstalk,"Great tasting produce, farmed around
                            the corner",https://www.ycombinator.com/companies/beanstalk,"['Mike Ross', 'Jack Ross']","['https://www.linkedin.com/company/beanstalk-inc/about/', 'https://www.linkedin.com/in/mross9/', 'https://www.linkedin.com/in/jacklross/']",,15,"Washington, DC"
Zendar,"We make high definition radar
                            allowing self-driving cars to see in…",https://www.ycombinator.com/companies/zendar,"['Vinayak Nagpal', 'Jimmy Wang']","['https://www.linkedin.com/in/vinayak-nagpal-45087b/', 'https://www.linkedin.com/in/jimmy-wang-9186a39/']",2017,45,"Berkeley, CA"
May Mobility,"Transforming cities and rural areas
                            through AV transit and technology",https://www.ycombinator.com/companies/may-mobility,['Edwin Olson'],"['https://www.linkedin.com/company/18036611/', 'https://www.linkedin.com/in/edwin-olson-6644387/']",2017,260,"Ann Arbor, MI"
Entocycle,"Automated factory to produce insect
                            protein for farm animals.",https://www.ycombinator.com/companies/entocycle,['Keiran Olivares Whitaker'],['https://www.linkedin.com/in/keiran-olivares-whitaker-a2b8b795/'],,13,"London, United Kingdom"
Bountiful,An Operating System for agriculture.,https://www.ycombinator.com/companies/bountiful,"['Megan Nunes', 'Tomas Svitek']","['http://linkedin.com/company/bountifulag', 'https://www.linkedin.com/in/megan-nunes-73340525', 'https://www.linkedin.com/in/svitek']",2015,4,San Francisco
UrbanKisaan,Reimagining Food through Farming,https://www.ycombinator.com/companies/urbankisaan,"['Vihari Kanukollu', 'Srinivas Chaganti', 'Dr. Sairam Reddy Palicherla']","['https://www.linkedin.com/in/kvihari/', 'https://www.linkedin.com/in/chaganty/', 'https://www.linkedin.com/in/sairam-reddy-3788647/']",2018,53,"Hyderabad, India"
Nimbus,Tesla for city dwellers,https://www.ycombinator.com/companies/nimbus,['Lihang Nong'],['https://www.linkedin.com/in/lihang-nong-a148b75b/'],2018,5,"Ann Arbor, MI"
Mars Auto,"Autonomous trucks for
                            warehouse-to-warehouse shipping",https://www.ycombinator.com/companies/mars-auto,['Ilsu Park'],['https://www.linkedin.com/in/daftshady/'],2017,15,"Seoul, South Korea"
Thrive Agric,"ThriveAgric help Farmers in Africa
                            access finance, insight and Markets",https://www.ycombinator.com/companies/thrive-agric,"['Ayodeji Arikawe', 'Uka Eje']","['https://www.linkedin.com/company/thriveagric', 'https://www.linkedin.com/in/ayodejiarikawe', 'https://www.linkedin.com/in/uka-eje-11481ab2/']",2017,227,"Abuja, Nigeria"
Inevitable Tech,"To make food a renewable resource,
                            for everyone",https://www.ycombinator.com/companies/inevitable-tech,"['Brandon Alexander', 'Jonathan Binney']","['https://www.linkedin.com/company/iron-ox/', 'https://www.linkedin.com/in/brandonacealexander', 'https://www.linkedin.com/in/jon-binney-5775b65/']",2015,80,"San Carlos, CA"
Auro Robotics,"Autonomous shuttles for campus-like
                            environments.",https://www.ycombinator.com/companies/auro-robotics,"['Nalin Gupta', 'Jit Ray Chowdhury']","['https://linkedin.com/in/nalingupta01', 'https://www.linkedin.com/in/jitrc/']",2015,10,"Santa Clara, CA"
Tule,"Help farmers make irrigation
                            decisions with sensors / computer vision",https://www.ycombinator.com/companies/tule,['Tom Shapland'],['https://linkedin.com/in/tom-shapland-b4494212'],2014,8,"Davis, CA"
Cruise,Self-driving cars.,https://www.ycombinator.com/companies/cruise,"['Kyle Vogt', 'Daniel Kan']","['https://www.linkedin.com/company/getcruise/', 'https://www.linkedin.com/in/kylevogt/', 'https://www.linkedin.com/in/danielkan']",2013,3000,San Francisco
FarmLogs,"Software that helps farmers operate
                            more profitable businesses.",https://www.ycombinator.com/companies/farmlogs,['Brad Koch'],['https://www.linkedin.com/company/farmlogs/'],2011,5,"Ann Arbor, MI"
Phiar,"We are developing a revolutionary
                            AI-powered augmented reality…",https://www.ycombinator.com/companies/phiar,['Chen-Ping Yu'],"['https://www.linkedin.com/company/phiar/', 'https://www.linkedin.com/in/chenpingyu/']",2017,12,"Redwood City, CA"
Bear Flag Robotics,"Autonomous driving technology for
                            farm tractors.",https://www.ycombinator.com/companies/bear-flag-robotics,"['Igino Cafiero', 'Aubrey Donnellan']","['https://www.linkedin.com/company/bear-flag-robotics/', 'https://www.linkedin.com/in/igino-cafiero-43b213b0', 'https://www.linkedin.com/in/aubrey-donnellan-0b676b7/']",,10,"Newark, CA"
lvl5,HD maps for self-driving cars.,https://www.ycombinator.com/companies/lvl5,['George Tall'],['http://www.linkedin.com/in/georgetall'],,6,
Palifer,"Predictive maintenance models for
                            trains and heavy industry",https://www.ycombinator.com/companies/palifer,"['Morris Hsieh', 'Emerson Hsieh']","['https://www.linkedin.com/in/morris-hsieh/', 'https://www.linkedin.com/in/emersonhsieh/']",2019,2,"San Jose, CA"
Terravion,"Real time Google Earth for
                            agriculture -- imagery collected weekly…",https://www.ycombinator.com/companies/terravion,['Robert Morris'],['https://www.linkedin.com/in/robertaldenmorris/'],,11,"San Leandro, CA"
Edyn,Nest for lawn and garden,https://www.ycombinator.com/companies/edyn,['Jason Aramburu'],['http://linkedin.com/in/jasonaramburu'],,2,"Oakland, CA"
Micro Meat,"Technologies for scaling up
                            cultured/clean meat production",https://www.ycombinator.com/companies/micro-meat,"['Anne-Sophie Mertgen', 'Vincent Pribble']","['https://www.linkedin.com/in/anne-sophie-mertgen/', 'https://www.linkedin.com/in/vincentpribble/']",2021,0,"Monterrey, Mexico"
Passenger AI,Software for robotaxi operations.,https://www.ycombinator.com/companies/passenger-ai,['Martin Shen'],['https://www.linkedin.com/in/martinshen/'],,5,"Toronto, Canada"
Modular Science,"We're making it easier to do
                            sustainable farming.",https://www.ycombinator.com/companies/modular-science,['Peter Sand'],"['https://www.linkedin.com/company/modular-science/', 'https://www.linkedin.com/in/petersand/']",,,San Francisco
LocoAI,"Small, low-cost LIDAR",https://www.ycombinator.com/companies/locoai,['Jake Clinton'],['https://www.linkedin.com/in/jake-clinton-b8062412a/'],,1,
