Company Name,Blurb,Company Link,Founders,LinkedIn Links,Founded,Team Size,Location
Oklo,"Emission free, always on power from
                            advanced fission power plants.",https://www.ycombinator.com/companies/oklo,"['Jacob DeWitte', 'Caroline Cochran']","['https://www.linkedin.com/company/oklo/', 'http://linkedin.com/in/jacob-dewitte-90062132', 'https://www.linkedin.com/in/caorilne']",2013,50,"Santa Clara, CA"
Moxion Power Co.,Mobile Energy Storage Technology,https://www.ycombinator.com/companies/moxion-power-co,"['Paul Huelskamp', 'Alexander Meek']","['https://www.linkedin.com/company/moxion-power-co/people/', 'https://www.linkedin.com/in/paulhuelskamp', 'https://www.linkedin.com/in/alexandermeek/']",2020,380,"Richmond, CA"
Reach Labs,"Long range, wireless energy
                            distribution that scales",https://www.ycombinator.com/companies/reach-labs,['Christopher Davlantes'],"['https://www.linkedin.com/company/reach-power', 'https://www.linkedin.com/in/chrisdavlantes/en']",,16,"Emeryville, CA"
SunFarmer,"Reliable and affordable solar energy
                            in developing countries.",https://www.ycombinator.com/companies/sunfarmer,"['Andy Moon', 'Jason Gray']","['https://www.linkedin.com/company/sunfarmer/', 'https://www.linkedin.com/in/andymoonfuture/', 'https://www.linkedin.com/in/jasondgray/']",,15,"Kathmandu, Nepal"
Bright,Sunrun for the developing world,https://www.ycombinator.com/companies/bright,['Jonah Greenberger'],"['https://www.linkedin.com/company/9506733/', 'http://www.linkedin.com/in/jonahgreenberger/']",2014,100,"Mexico City, Mexico"
Helion Energy,"Building the world's first fusion
                            power plant",https://www.ycombinator.com/companies/helion-energy,"['David Kirtley', 'Chris Pihl']","['https://www.linkedin.com/company/helion-energy/', 'https://www.linkedin.com/in/david-kirtley-490b8230/', 'https://www.linkedin.com/in/chris-pihl-4a84b1a/']",2013,150,"Everett, WA"
GBatteries,"Enabling li-ion batteries to charge
                            ultra fast without compromising…",https://www.ycombinator.com/companies/gbatteries,"['Tim Sherstyuk', 'Nick Sherstyuk']","['https://www.linkedin.com/company/gbatteriesenergy', 'https://www.linkedin.com/in/timsherstyuk']",2014,25,"Ottawa, Canada"
Arctic Capture,"Genetically engineering cyanobacteria
                            for carbon capture.",https://www.ycombinator.com/companies/arctic-capture,"['Ankit Singhal', 'Vignesh Karthik', 'Connor Lee']","['https://www.linkedin.com/company/arctic-capture', 'https://www.linkedin.com/in/ankit-singhal-columbia/', 'https://www.linkedin.com/in/vigkart/', 'https://www.linkedin.com/in/connor-lee-692a40263']",2024,3,New York
Starlight Charging,"Ultra-low-cost EV charging for condos
                            and apartments",https://www.ycombinator.com/companies/starlight-charging,['Andrew Kouri'],"['https://www.linkedin.com/company/starlight-charging', 'https://linkedin.com/in/andrewkouri']",2022,1,"Austin, TX"
Elyos Energy,"The platform for energy flexibility
                            and demand response",https://www.ycombinator.com/companies/elyos-energy,"['Adrian Johnston', 'Philippa Brown', 'Panos Stravopodis']","['https://www.linkedin.com/company/elyosenergy', 'https://www.linkedin.com/in/adrian-johnston-87667a2b/', 'https://www.linkedin.com/in/philippa-brown-', 'https://linkedin.com/in/pstrav']",2023,5,"London, United Kingdom"
